FID,station,st_num,lot_id,station_name,line_id,mode,permitrequired_1,permit_only_spaces_1,permit_only_vehicles_1,permit_only_space_utilization_1,parking_space_non_hp_1,used_spaces_non_hp_1,hp_parking_spaces_1,used_hp_parking_spaces_1,total_spaces_1,total_used_spaces_1,total_utilization_all_parking_1,publicparkingnohp_spaces_1,publicparkingnohp_vehicles_1,publicparkingnohp_utilization_1,cars_not_in_marked_spaces_1,lot_ownership_1,parking_fee_1,data_year
ctps_pnr_lots_polygons.192,Canton Junction,126,230,Canton Junction,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,152,63,0,0,152,63,0.41447368,152,63,0.41447368,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.193,Canton Junction,126,231,Canton Junction,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,286,242,6,0,292,242,0.82876712,286,242,0.84615385,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.194,Canton Junction,126,232,Canton Junction,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,246,246,5,0,251,246,0.98007968,246,246,1,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.195,Canton Junction,126,233,Canton Junction,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,67,60,0,0,67,60,0.89552239,67,60,0.89552239,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.196,Canton Junction,126,234,Canton Junction,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,174,113,0,0,174,113,0.64942529,174,113,0.64942529,0,Private,3,2017-2018
ctps_pnr_lots_polygons.197,Woburn Bus Yard,353,235,Woburn Bus Yard,Route 345/345 Express Bus,Bus,No,0,0,N/A,67,66,2,0,69,66,0.95652174,67,66,0.98507463,0,Private,0,2017-2018
ctps_pnr_lots_polygons.198,Newtonville,28,237,Newtonville,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,80,68,0,0,80,68,0.85,80,68,0.85,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.199,Newtonville,28,238,Newtonville,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,49,20,0,0,49,20,0.40816327,49,20,0.40816327,0,Town,4.5,2017-2018
ctps_pnr_lots_polygons.200,South Attleboro,132,239,South Attleboro,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,352,347,13,8,365,355,0.97260274,352,347,0.98579546,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.201,South Attleboro,132,240,South Attleboro,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,214,212,0,0,214,212,0.99065421,214,212,0.99065421,3,MBTA,6,2017-2018
