"route_id","route_long_name","parent_station","stop_name","stop_lat","stop_lon"
"Green-E","Green Line E","place-nuniv","Northeastern University",42.340401,-71.088806
"Green-E","Green Line E","place-mfa","Museum of Fine Arts",42.337711,-71.095512
"Green-E","Green Line E","place-lngmd","Longwood Medical Area",42.33596,-71.100052
"Green-E","Green Line E","place-brmnl","Brigham Circle",42.334229,-71.104609
"Green-E","Green Line E","place-fenwd","Fenwood Road",42.333706,-71.105728
"Green-E","Green Line E","place-mispk","Mission Park",42.333195,-71.109756
"Green-E","Green Line E","place-rvrwy","Riverway",42.331684,-71.111931
"Green-E","Green Line E","place-bckhl","Back of the Hill",42.330139,-71.111313
"Green-E","Green Line E","place-hsmnl","Heath Street",42.328316,-71.110252
"Blue","Blue Line","place-wondl","Wonderland",42.41342,-70.991648
"Blue","Blue Line","place-rbmnl","Revere Beach",42.407843,-70.992533
"Blue","Blue Line","place-bmmnl","Beachmont",42.397542,-70.992319
"Blue","Blue Line","place-sdmnl","Suffolk Downs",42.390501,-70.997123
"Blue","Blue Line","place-orhte","Orient Heights",42.386867,-71.004736
"Blue","Blue Line","place-wimnl","Wood Island",42.37964,-71.022865
"Blue","Blue Line","place-aport","Airport",42.374262,-71.030395
"Blue","Blue Line","place-mvbcl","Maverick",42.369119,-71.03953
"Blue","Blue Line","place-aqucl","Aquarium",42.359784,-71.051652
"Blue","Blue Line","place-state","State",42.358978,-71.057598
"Blue","Blue Line","place-gover","Government Center",42.359705,-71.059215
"Blue","Blue Line","place-bomnl","Bowdoin",42.361365,-71.062037
