"","season","route_id","stop_name","parent_station","avg_boardings","avg_alightings"
"137","Fall 2023","Green","Back of the Hill","place-bckhl",11.9022556390977,9.46115288220551
"138","Fall 2023","Green","Ball Square","place-balsq",24.8997493734336,20.9473684210526
"139","Fall 2023","Green","Beaconsfield","place-bcnfd",22.8533834586466,12.8020050125313
"140","Fall 2023","Green","Blandford Street","place-bland",27.0062656641604,17.2318295739348
"141","Fall 2023","Green","Boston College","place-lake",28.9586466165414,23.8295739348371
"142","Fall 2023","Green","Boston University Central","place-bucen",30.5927318295739,24.3959899749373
"143","Fall 2023","Green","Boston University East","place-buest",27.8634085213033,15.2919799498747
"144","Fall 2023","Green","Boylston","place-boyls",340.760651629073,330.547619047619
"145","Fall 2023","Green","Brandon Hall","place-bndhl",14.5526315789474,7.22681704260652
"146","Fall 2023","Green","Brigham Circle","place-brmnl",35.4147869674185,39.6541353383459
"147","Fall 2023","Green","Brookline Hills","place-brkhl",23.8684210526316,12.5676691729323
"148","Fall 2023","Green","Brookline Village","place-bvmnl",40.3170426065163,35.7769423558897
"149","Fall 2023","Green","Chestnut Hill","place-chhil",25.81328320802,14.2080200501253
"150","Fall 2023","Green","Chestnut Hill Avenue","place-chill",29.8020050125313,28.9598997493734
"151","Fall 2023","Green","Chiswick Road","place-chswk",34.3132832080201,20.8558897243108
"152","Fall 2023","Green","Cleveland Circle","place-clmnl",14.1629072681704,24.6190476190476
"153","Fall 2023","Green","Coolidge Corner","place-cool",86.5651629072682,52.874686716792
"154","Fall 2023","Green","Copley","place-coecl",642.444862155388,653.413533834586
"155","Fall 2023","Green","Dean Road","place-denrd",15.187969924812,10.1328320802005
"156","Fall 2023","Green","East Somerville","place-esomr",7.95739348370927,19.280701754386
"157","Fall 2023","Green","Eliot","place-eliot",18.4624060150376,8.98997493734336
"158","Fall 2023","Green","Englewood Avenue","place-engav",22.3659147869674,12.3809523809524
"159","Fall 2023","Green","Fairbanks Street","place-fbkst",17.3809523809524,9.71303258145363
"160","Fall 2023","Green","Fenway","place-fenwy",34.1992481203008,32.8070175438597
"161","Fall 2023","Green","Fenwood Road","place-fenwd",16.3345864661654,18.2719298245614
"162","Fall 2023","Green","Gilman Square","place-gilmn",50.968671679198,37.4335839598997
"163","Fall 2023","Green","Government Center","place-gover",972.484962406015,926.051378446115
"164","Fall 2023","Green","Griggs Street","place-grigg",41.4310776942356,20.8095238095238
"165","Fall 2023","Green","Harvard Avenue","place-harvd",101.778195488722,96.250626566416
"166","Fall 2023","Green","Hawes Street","place-hwsst",9.96365914786967,3.97243107769424
"167","Fall 2023","Green","Haymarket","place-haecl",293.013784461153,280.59649122807
"168","Fall 2023","Green","Heath Street","place-hsmnl",11.3696741854637,87.8546365914787
"169","Fall 2023","Green","Hynes Convention Center","place-hymnl",567.699248120301,597.616541353383
"170","Fall 2023","Green","Kenmore","place-kencl",372.093984962406,434.18045112782
"171","Fall 2023","Green","Kent Street","place-kntst",13.9561403508772,4.93358395989975
"172","Fall 2023","Green","Lechmere","place-lech",64.3195488721804,73.5325814536341
"173","Fall 2023","Green","Longwood","place-longw",33.1654135338346,33.4949874686717
"174","Fall 2023","Green","Longwood Medical Area","place-lngmd",30.8446115288221,42.6516290726817
"175","Fall 2023","Green","Magoun Square","place-mgngl",19.4736842105263,21.2543859649123
"176","Fall 2023","Green","Medford/Tufts","place-mdftf",86.093984962406,33.9360902255639
"177","Fall 2023","Green","Mission Park","place-mispk",18.8233082706767,23.9323308270677
"178","Fall 2023","Green","Museum of Fine Arts","place-mfa",22.9022556390977,17.8847117794486
"179","Fall 2023","Green","Newton Centre","place-newto",28.0263157894737,17.0726817042607
"180","Fall 2023","Green","Newton Highlands","place-newtn",23.3721804511278,13.5263157894737
"181","Fall 2023","Green","North Station","place-north",498.122807017544,463.078947368421
"182","Fall 2023","Green","Northeastern University","place-nuniv",30.406015037594,39.5238095238095
"183","Fall 2023","Green","Packard's Corner","place-brico",50.9072681704261,31.6378446115288
"184","Fall 2023","Green","Park Street","place-pktrm",1134.17669172932,1422.24436090226
"185","Fall 2023","Green","Prudential","place-prmnl",148.928571428571,141.669172932331
"186","Fall 2023","Green","Reservoir","place-rsmnl",33.4035087719298,29.8571428571429
"187","Fall 2023","Green","Riverside","place-river",92.6503759398496,113.454887218045
"188","Fall 2023","Green","Riverway","place-rvrwy",19.8809523809524,20.9736842105263
"189","Fall 2023","Green","Saint Mary's Street","place-smary",34.4010025062657,18.2393483709273
"190","Fall 2023","Green","Saint Paul Street","place-stpul",30.7017543859649,12.5263157894737
"191","Fall 2023","Green","Science Park/West End","place-spmnl",56.6303258145363,44.7431077694236
"192","Fall 2023","Green","South Street","place-sougr",17.4310776942356,9.74310776942356
"193","Fall 2023","Green","Summit Avenue","place-sumav",25.8959899749373,15.3671679197995
