,route_id,parent_station,ppsqft,tot_pop
107,Red,place-brdwy,0.010639207846780794,6724.0
108,Red,place-brntn,0.0010702155664246535,1258.0
109,Red,place-chmnl,0.023192114881255235,12093.0
110,Red,place-cntsq,0.012141591299697484,23153.0
111,Red,place-davis,0.008798944324457355,12157.0
112,Red,place-dwnxg,0.01806439988910139,7456.0
113,Red,place-fldcr,0.009280814703503743,12365.0
114,Red,place-harsq,0.012269812901378841,14813.0
115,Red,place-jfk,0.008746151858778252,6746.0
116,Red,place-knncl,0.005542256625866341,6051.0
117,Red,place-nqncy,0.0047182664520108745,3382.0
118,Red,place-pktrm,0.018935388934078333,5940.0
119,Red,place-portr,0.00975144652910043,14820.0
120,Red,place-qamnl,0.003711616228192505,2886.0
121,Red,place-qnctr,0.003609327811729239,3926.0
