"route_id","parent_station","walk_poly_wkt"
"Blue","place-gover","POLYGON ((-71.06389 42.35309, -71.06421 42.35313, -71.06455 42.35325, -71.06458 42.35326, -71.0662 42.35468, -71.05474 42.36579, -71.05405 42.3656, -71.06116 42.35326, -71.06389 42.35309))"
"Blue","place-bomnl","POLYGON ((-71.06675 42.35666, -71.07096 42.36017, -71.07147 42.3606, -71.07175 42.36145, -71.07177 42.36153, -71.06908 42.36441, -71.06668 42.3663, -71.06467 42.36719, -71.06457 42.3672, -71.0616 42.36692, -71.0584 42.36704, -71.05818 42.36702, -71.05545 42.36541, -71.05544 42.3654, -71.05528 42.36526, -71.0652 42.35565, -71.06675 42.35666))"
"Green-B","place-pktrm","POLYGON ((-71.06947 42.35803, -71.06867 42.35906, -71.06392 42.36248, -71.06391 42.36249, -71.06327 42.36258, -71.06261 42.36266, -71.0625 42.36267, -71.06191 42.36271, -71.05802 42.36225, -71.05712 42.3621, -71.05691 42.36204, -71.05669 42.36185, -71.05563 42.3608, -71.05409 42.35849, -71.05405 42.35842, -71.0539 42.3577, -71.05456 42.35241, -71.05472 42.35209, -71.0567 42.35139, -71.06961 42.35784, -71.06947 42.35803))"
"Green-B","place-boyls","POLYGON ((-71.05681 42.35032, -71.05766 42.34945, -71.05852 42.34907, -71.05856 42.34905, -71.06024 42.34834, -71.06427 42.34632, -71.07071 42.35833, -71.0707 42.35834, -71.07065 42.35837, -71.0561 42.35109, -71.05681 42.35032))"
"Green-B","place-armnl","POLYGON ((-71.06488 42.34727, -71.06534 42.34667, -71.0654 42.34661, -71.06548 42.34657, -71.06755 42.34577, -71.0696 42.34508, -71.06981 42.34501, -71.06998 42.345, -71.0709 42.3452, -71.07654 42.35515, -71.07446 42.35686, -71.07251 42.35829, -71.07058 42.3581, -71.06482 42.34735, -71.06488 42.34727))"
"Green-B","place-coecl","POLYGON ((-71.07151 42.34588, -71.0722 42.34482, -71.07237 42.34461, -71.07345 42.34349, -71.07369 42.34331, -71.07402 42.34316, -71.07418 42.34309, -71.07774 42.34361, -71.08123 42.34399, -71.08393 42.3526, -71.08391 42.35264, -71.08348 42.35324, -71.08157 42.35469, -71.08135 42.3548, -71.07761 42.35542, -71.07668 42.3554, -71.07139 42.34607, -71.07151 42.34588))"
"Green-B","place-hymnl","POLYGON ((-71.08307 42.34145, -71.08323 42.34135, -71.08334 42.34133, -71.08655 42.34114, -71.08679 42.34114, -71.09064 42.34127, -71.09073 42.34128, -71.09183 42.3417, -71.09213 42.34189, -71.09235 42.34206, -71.09056 42.3553, -71.08681 42.35299, -71.08486 42.35287, -71.08406 42.3526, -71.08392 42.35255, -71.08101 42.34328, -71.08307 42.34145))"
"Green-B","place-kencl","POLYGON ((-71.09733 42.34332, -71.09741 42.34332, -71.09821 42.34339, -71.09801 42.35109, -71.09565 42.35075, -71.09126 42.3538, -71.09094 42.35396, -71.09074 42.35394, -71.09212 42.34376, -71.09733 42.34332))"
"Green-B","place-bland","POLYGON ((-71.10016 42.34404, -71.10211 42.34375, -71.10397 42.3441, -71.10414 42.34414, -71.10432 42.34422, -71.1014 42.35158, -71.10102 42.35163, -71.10082 42.35162, -71.098 42.35118, -71.09818 42.3444, -71.10016 42.34404))"
"Green-B","place-buest","POLYGON ((-71.1046 42.3451, -71.10567 42.3452, -71.1056 42.35185, -71.10476 42.35164, -71.10138 42.35163, -71.10395 42.34516, -71.1046 42.3451))"
"Green-B","place-bucen","POLYGON ((-71.10849 42.34376, -71.11123 42.34486, -71.11127 42.34488, -71.11135 42.34493, -71.11162 42.34524, -71.10894 42.35414, -71.10821 42.35366, -71.10559 42.35265, -71.10569 42.34349, -71.10849 42.34376))"
