"season","route_id","parent_station","avg_boardings_wkdy","avg_boardings_wknd","avg_alightings_wkdy","avg_alightings_wknd","avg_boardings_am_peak","avg_boardings_off_peak","avg_boardings_pm_peak","avg_alightings_am_peak","avg_alightings_off_peak","avg_alightings_pm_peak","avg_boardings","avg_alightings"
"Fall 2019","Blue","place-wimnl",2212.87012987013,1206.2,2190.42857142857,1246.2,583.051948051948,1297.42857142857,332.38961038961,156.61038961039,1457.85714285714,575.961038961039,2005.30927835052,1995.74226804124
"Fall 2019","Blue","place-wondl",6707.1948051948,3102.7,6659.62337662338,3336.7,2538.28571428571,3727.83116883117,441.077922077922,188.363636363636,3674.79220779221,2796.46753246753,5964,5974.48453608247
"Fall 2019","Green","place-alsgr",492.090909090909,229.7,433.701298701299,255.3,161.363636363636,278.181818181818,52.5454545454545,14,285.727272727273,133.974025974026,437.989690721649,396.917525773196
"Fall 2019","Green","place-armnl",8691,4264.1,8441.64935064935,3967.45,562.701298701299,4770.06493506493,3358.23376623377,2749.48051948052,4457.81818181818,1234.35064935065,7778.23711340206,7519.13402061856
"Fall 2019","Green","place-babck",559.272727272727,335.1,649.480519480519,419.95,77.6233766233766,369.363636363636,112.285714285714,95.6883116883117,403.272727272727,150.519480519481,513.051546391753,602.154639175258
"Fall 2019","Green","place-bckhl",75.038961038961,55.6,117.818181818182,98.95,20,40.5974025974026,14.4415584415584,5.61038961038961,72.0649350649351,40.1428571428571,71.0309278350515,113.927835051546
"Fall 2019","Green","place-bcnfd",330.051948051948,85.15,368.467532467532,134.4,109.883116883117,185.584415584416,34.5844155844156,20.4935064935065,205.87012987013,142.103896103896,279.556701030928,320.20618556701
"Fall 2019","Green","place-bcnwa",361.87012987013,144.85,299.584415584416,123.95,125.220779220779,188.61038961039,48.038961038961,18.7532467532468,183.298701298701,97.5324675324675,317.123711340206,263.371134020619
"Fall 2019","Green","place-bland",426.12987012987,143.8,462.363636363636,196.8,13.4415584415584,293.220779220779,119.467532467532,79.6103896103896,297.558441558442,85.1948051948052,367.917525773196,407.60824742268
"Fall 2019","Green","place-bndhl",129.688311688312,35.25,125.311688311688,40.35,66.1038961038961,53.1818181818182,10.4025974025974,3.63636363636364,78.4545454545455,43.2207792207792,110.216494845361,107.79381443299
"Fall 2019","Green","place-boyls",7491.41558441558,5706.75,6542.90909090909,4928.6,586.558441558442,4914.48051948052,1990.37662337662,1160.63636363636,4020.50649350649,1361.76623376623,7123.44329896907,6210.0618556701
"Fall 2019","Green","place-brico",681,442.3,628.467532467532,453.3,108.805194805195,460.324675324675,111.87012987013,36.1038961038961,418.571428571429,173.792207792208,631.783505154639,592.350515463918
"Fall 2019","Green","place-brkhl",400.337662337662,89,309.064935064935,95.65,101.649350649351,236.649350649351,62.038961038961,36.1298701298701,173.896103896104,99.038961038961,336.144329896907,265.061855670103
"Fall 2019","Green","place-brmnl",911.155844155844,357.7,854.298701298701,426.6,79.1298701298701,532.493506493507,299.532467532468,197.818181818182,519.779220779221,136.701298701299,797.041237113402,766.113402061856
"Fall 2019","Green","place-bucen",556.077922077922,268.55,568.428571428571,248.2,14.1688311688312,392.584415584416,149.324675324675,107.779220779221,369.883116883117,90.7662337662338,496.79381443299,502.40206185567
"Fall 2019","Green","place-buest",444.701298701299,177.1,393.155844155844,174.75,9.57142857142857,320.038961038961,115.090909090909,62.2597402597403,265.350649350649,65.5454545454545,389.525773195876,348.123711340206
"Fall 2019","Green","place-buwst",299.38961038961,151,279.87012987013,140.55,11.4935064935065,203.194805194805,84.7012987012987,56.3766233766234,174.428571428571,49.0649350649351,268.79381443299,251.144329896907
"Fall 2019","Green","place-bvmnl",759.688311688312,232.35,833.948051948052,352.15,118.935064935065,484.909090909091,155.844155844156,110.779220779221,480.935064935065,242.233766233766,650.958762886598,734.60824742268
"Fall 2019","Green","place-chhil",405.051948051948,104.4,306.675324675325,98.6,81.8961038961039,224.636363636364,98.5194805194805,61.5714285714286,173.701298701299,71.4025974025974,343.061855670103,263.773195876289
