,route_id,parent_station,jobspersqft,tot_jobs
53,Green,place-lech,133438211.58162716,11541
54,Green,place-lngmd,89605628.07026523,3300
55,Green,place-longw,228664105.20958903,15050
56,Green,place-mdftf,19485024.55099801,5211
57,Green,place-mfa,45561320.873174876,3728
58,Green,place-mgngl,13579026.406930108,1184
59,Green,place-mispk,8328683.693745799,161
60,Green,place-newtn,12101446.204599563,933
61,Green,place-newto,44305205.95978038,2804
62,Green,place-north,313269137.5154233,13733
63,Green,place-nuniv,672090104.6038597,8214
64,Green,place-pktrm,1178356621.9619935,58142
65,Green,place-prmnl,120192626.51923311,18060
66,Green,place-river,43825653.495684616,4535
67,Green,place-rsmnl,1897636.9018850778,116
68,Green,place-rvrwy,16990424.494289786,115
69,Green,place-smary,61116041.23299447,577
70,Green,place-sougr,5040903.529484288,88
71,Green,place-spmnl,300615548.38721585,32597
72,Green,place-sthld,5061829.599933107,145
73,Green,place-stpul,11824642.990141815,311
74,Green,place-sumav,25602219.706733555,840
75,Green,place-symcl,183686641.48028293,3122
76,Green,place-tapst,39512916.18240552,275
77,Green,place-unsqu,90885809.97187166,6651
78,Green,place-waban,3322925.202962359,284
79,Green,place-wascm,18255704.92809257,701
80,Green,place-woodl,47259931.46207888,3713
81,Green,place-wrnst,51073699.84099946,5735
82,Mattapan,place-asmnl,5567025.057474822,774
83,Mattapan,place-butlr,8799408.95622994,227
84,Mattapan,place-capst,1217011.5400328378,29
85,Mattapan,place-cedgr,31354699.813128646,1794
86,Mattapan,place-cenav,11664482.509316524,673
87,Mattapan,place-matt,11678901.311207691,910
88,Mattapan,place-miltt,17808941.576285385,454
89,Mattapan,place-valrd,727231.9060223071,29
90,Orange,place-astao,229697033.02442056,9831
91,Orange,place-bbsta,341680780.8244466,58263
92,Orange,place-ccmnl,103984610.13083851,4125
93,Orange,place-chncl,493417834.6024439,12125
94,Orange,place-dwnxg,1380101525.8342857,62579
95,Orange,place-forhl,22580056.8772373,1754
96,Orange,place-grnst,22726259.713677384,2237
97,Orange,place-haecl,178187100.7061636,9481
98,Orange,place-jaksn,21521406.331382252,1989
99,Orange,place-masta,115692630.08663394,12901
100,Orange,place-mlmnl,71665852.61792716,6406
101,Orange,place-north,269903108.26496243,16266
102,Orange,place-ogmnl,11075114.745366171,637
103,Orange,place-rcmnl,20459942.313445687,1704
104,Orange,place-rugg,454782633.41436183,10142
105,Orange,place-sbmnl,16544656.281083867,1097
106,Orange,place-state,1623367986.7840698,82283
107,Orange,place-sull,51314684.585323565,5659
108,Orange,place-tumnl,357027266.8621838,22276
109,Orange,place-welln,74335411.45852216,2211
110,Red,place-alfcl,121281900.74776866,4760
111,Red,place-andrw,24426764.60776249,5124
112,Red,place-asmnl,8395429.723807704,898
113,Red,place-brdwy,123097820.62514272,8412
114,Red,place-brntn,66235973.263405286,2278
115,Red,place-chmnl,144568136.66115922,33190
116,Red,place-cntsq,137250392.89428636,16181
117,Red,place-davis,39683467.73711477,4274
118,Red,place-dwnxg,1385427591.7425954,66715
119,Red,place-fldcr,28924845.821010478,3652
120,Red,place-harsq,1209111062.4894354,25720
121,Red,place-jfk,31209764.02003824,7834
122,Red,place-knncl,487839852.3925035,55588
123,Red,place-nqncy,37141905.717710406,8534
124,Red,place-pktrm,848385928.8712921,37760
125,Red,place-portr,35063699.94823872,2685
126,Red,place-qamnl,85355832.03808707,3002
127,Red,place-qnctr,111071812.27847774,10691
128,Red,place-shmnl,17964913.69336902,1726
129,Red,place-smmnl,18502495.65085526,1427
130,Red,place-sstat,1147512072.3677094,85483
131,Red,place-wlsta,15291059.13221773,1091
