"season","route_id","parent_station","avg_boardings_wkdy","avg_boardings_wknd","avg_alightings_wkdy","avg_alightings_wknd","avg_boardings","avg_alightings"
"Fall 2023","Green","place-mispk",297.547619047619,120.190476190476,326.309523809524,256.809523809524,238.428571428571,303.142857142857
"Fall 2023","Green","place-newtn",372.333333333333,143.47619047619,203.238095238095,107.52380952381,296.047619047619,171.333333333333
"Fall 2023","Green","place-newto",443.714285714286,177.571428571429,270.119047619048,108.52380952381,355,216.253968253968
"Fall 2023","Green","place-north",6719.2619047619,5490.14285714286,6236.35714285714,5124.28571428571,6309.55555555556,5865.66666666667
"Fall 2023","Green","place-nuniv",493.095238095238,169.238095238095,578.238095238095,345.428571428571,385.142857142857,500.634920634921
"Fall 2023","Green","place-pktrm",15573,11952.7142857143,20210.7142857143,13623.8571428571,14366.2380952381,18015.0952380952
"Fall 2023","Green","place-prmnl",1846.11904761905,1967.04761904762,1776.69047619048,1830.04761904762,1886.42857142857,1794.47619047619
"Fall 2023","Green","place-river",1295.88095238095,928.952380952381,1632.09523809524,1047.09523809524,1173.57142857143,1437.09523809524
"Fall 2023","Green","place-rsmnl",528.071428571429,213.190476190476,476.071428571429,182.428571428571,423.111111111111,378.190476190476
"Fall 2023","Green","place-rvrwy",318.928571428571,117.619047619048,295.833333333333,205.333333333333,251.825396825397,265.666666666667
"Fall 2023","Green","place-smary",513.619047619048,280,268,157.095238095238,435.746031746032,231.031746031746
"Fall 2023","Green","place-sougr",262.857142857143,136.666666666667,131.738095238095,106.761904761905,220.793650793651,123.412698412698
"Fall 2023","Green","place-spmnl",760.309523809524,631.333333333333,557.571428571429,585.095238095238,717.31746031746,566.746031746032
"Fall 2023","Green","place-sthld",653,273.380952380952,266.452380952381,179,526.460317460317,237.301587301587
"Fall 2023","Green","place-stpul",478.357142857143,209.952380952381,174.357142857143,127.285714285714,388.888888888889,158.666666666667
"Fall 2023","Green","place-sumav",407.761904761905,168.52380952381,221.142857142857,141.666666666667,328.015873015873,194.650793650794
"Fall 2023","Green","place-symcl",1069.2619047619,930.904761904762,1501.30952380952,1427.14285714286,1023.14285714286,1476.5873015873
"Fall 2023","Green","place-tapst",411.142857142857,181.904761904762,258.261904761905,113.047619047619,334.730158730159,209.857142857143
