"route_id","parent_station","walk_poly_wkt"
"Red","place-qamnl","POLYGON ((-71.01512 42.23176, -71.01492 42.23146, -71.00969 42.2306, -71.00799 42.2305, -71.00794 42.23052, -71.00771 42.23064, -71.00739 42.23082, -71.0067 42.2353, -71.00615 42.23673, -71.00601 42.23718, -71.00587 42.23764, -71.00571 42.23827, -71.00553 42.23897, -71.00532 42.23978, -71.00511 42.2406, -71.00545 42.24069, -71.00793 42.24004, -71.01133 42.23773, -71.01359 42.23677, -71.01384 42.23651, -71.01424 42.23567, -71.01541 42.23324, -71.01512 42.23176))"
"Red","place-brntn","POLYGON ((-71.00659 42.20652, -71.00644 42.20619, -71.00223 42.20223, -71.00207 42.20207, -71.00159 42.20182, -71.0005 42.20131, -70.99794 42.20114, -70.99563 42.20303, -70.99555 42.20339, -70.99618 42.20399, -70.99568 42.20939, -70.99551 42.20958, -70.99539 42.2098, -70.99469 42.21084, -70.99476 42.21119, -70.99729 42.21332, -70.99846 42.21427, -70.99862 42.21429, -71.00014 42.21418, -71.00385 42.21043, -71.00457 42.20999, -71.00607 42.20921, -71.00659 42.20652))"
"Mattapan","place-asmnl","POLYGON ((-71.07383 42.28245, -71.0728 42.28151, -71.06848 42.27898, -71.06644 42.27771, -71.06637 42.2777, -71.06347 42.27831, -71.05992 42.27884, -71.05961 42.27901, -71.05872 42.27988, -71.05632 42.2824, -71.0554 42.28345, -71.05527 42.28485, -71.05533 42.28578, -71.05648 42.28802, -71.06138 42.29113, -71.06249 42.29157, -71.06284 42.29167, -71.06576 42.2911, -71.06706 42.29082, -71.06942 42.2901, -71.07227 42.28551, -71.0739 42.28281, -71.07383 42.28245))"
"Mattapan","place-cedgr","POLYGON ((-71.06763 42.27927, -71.06549 42.27425, -71.064 42.27311, -71.0639 42.2731, -71.06134 42.27357, -71.05976 42.27459, -71.05783 42.27577, -71.05349 42.27742, -71.05323 42.27766, -71.05215 42.27881, -71.05082 42.28111, -71.0509 42.28146, -71.05409 42.28405, -71.05511 42.28467, -71.05545 42.2848, -71.06114 42.28598, -71.06164 42.28617, -71.06172 42.28618, -71.0635 42.28579, -71.06381 42.28561, -71.06437 42.28485, -71.06621 42.28213, -71.06709 42.28079, -71.06774 42.27961, -71.06763 42.27927))"
"Mattapan","place-butlr","POLYGON ((-71.07175 42.27048, -71.07171 42.27012, -71.06803 42.26799, -71.0677 42.26785, -71.06722 42.26794, -71.06512 42.26857, -71.06183 42.27136, -71.05881 42.27465, -71.05707 42.27583, -71.05485 42.27727, -71.05498 42.2776, -71.05999 42.27827, -71.06005 42.27828, -71.06258 42.27797, -71.06641 42.27807, -71.06647 42.27804, -71.0668 42.27785, -71.06957 42.27593, -71.0716 42.27209, -71.07175 42.27048))"
"Mattapan","place-miltt","POLYGON ((-71.0771 42.26909, -71.077 42.26874, -71.07503 42.26782, -71.07161 42.26502, -71.07136 42.26476, -71.06859 42.26412, -71.06823 42.2641, -71.06521 42.26448, -71.06433 42.26458, -71.06397 42.26489, -71.06388 42.26599, -71.06183 42.27136, -71.05903 42.27453, -71.05918 42.27486, -71.06223 42.275, -71.06667 42.27667, -71.06701 42.27676, -71.06979 42.27596, -71.07235 42.27529, -71.07544 42.27163, -71.07688 42.26987, -71.0771 42.26909))"
"Mattapan","place-cenav","POLYGON ((-71.08334 42.26796, -71.07864 42.2643, -71.07833 42.26405, -71.07475 42.26357, -71.07092 42.26397, -71.06985 42.26446, -71.06674 42.26764, -71.06525 42.26877, -71.06336 42.27175, -71.06355 42.27206, -71.06482 42.27317, -71.06489 42.27321, -71.06659 42.27427, -71.06665 42.2743, -71.06728 42.27451, -71.07157 42.27595, -71.07221 42.27601, -71.07313 42.27593, -71.07788 42.27494, -71.07822 42.27481, -71.07931 42.2742, -71.08041 42.27358, -71.08065 42.27331, -71.08181 42.2715, -71.08334 42.26832, -71.08334 42.26796))"
"Mattapan","place-valrd","POLYGON ((-71.0891 42.26669, -71.0896 42.26465, -71.08887 42.26431, -71.08598 42.26387, -71.08251 42.26267, -71.08204 42.26269, -71.07916 42.26283, -71.07546 42.26549, -71.07241 42.26906, -71.07206 42.26966, -71.07218 42.27, -71.07294 42.27034, -71.07311 42.27039, -71.07354 42.27027, -71.07569 42.26951, -71.0767 42.26921, -71.08152 42.26839, -71.08626 42.26859, -71.08831 42.26868, -71.08853 42.26841, -71.0891 42.26669))"
"Mattapan","place-capst","POLYGON ((-71.09331 42.26494, -71.09288 42.26436, -71.09091 42.26262, -71.08985 42.26227, -71.0885 42.26197, -71.0841 42.26213, -71.08325 42.26252, -71.0809 42.26444, -71.07882 42.26629, -71.07871 42.26651, -71.07796 42.26848, -71.07804 42.26884, -71.07859 42.26937, -71.08124 42.27131, -71.08551 42.27243, -71.08735 42.27192, -71.08799 42.2715, -71.08954 42.27035, -71.08993 42.27005, -71.09021 42.26982, -71.09333 42.2653, -71.09331 42.26494))"
"Mattapan","place-matt","POLYGON ((-71.10108 42.27027, -71.10102 42.26541, -71.10107 42.26405, -71.10101 42.264, -71.09775 42.26179, -71.09716 42.26153, -71.09615 42.2613, -71.09369 42.26089, -71.09333 42.26089, -71.09137 42.26152, -71.08983 42.26231, -71.08775 42.26409, -71.08723 42.26519, -71.08548 42.26917, -71.0854 42.26952, -71.08591 42.271, -71.08701 42.27179, -71.09185 42.27402, -71.09329 42.27423, -71.09365 42.27424, -71.09465 42.274, -71.09884 42.27135, -71.10058 42.27082, -71.10098 42.27071, -71.10108 42.27027))"
